text,label
"В данный момент пишу диплом на тему ""моделирования процессов взаимного влияния скважин при многостадийном ГРП""  Использую для этого язык программирования Python  Продолжаю изучение английского языка",process
Стараюсь вникнуть в основу продуктового менеджмента  Также прохожу сейчас курс по маркетингу,process
Я два раза участвовала в кейсах по маркетингу  рекламе и пиару и оба раза победила,result
Мы с командой вели проект по разработке приложения для анализа техники бега человека с использованием технологии безмаркерного видеоанализа,process
Мы с командой создали проект по разработке приложения для анализа техники бега человека с использованием технологии безмаркерного видеоанализа  который в дальнейшем перерос полноценную работу с заказчиками,result
Мы пишем на python  используем нейросети  используем различные библиотеки  В данном проекте я являюсь разработчиком  проектным менеджером  выполняю много разных функций,process
Была стажировка в газпромнефти бизнес аналитиком  где я выполняла анализ различных конкурентных средств  Также этим летом я проходила образовательную стажировку в группе компаний Атон и инвестиционном банке,process
Моя команда тогда заняла второе место,result
Я поучаствовала в хакатоне газпромнефти по направлению закупок  где разбирался кейс Харасавэйского месторождения,process
В июне 2022 года я принимала участие в кейс чемпионате от газпромнефти Проэнергетику,process
В июне 2022 года я приняла участие в кейс чемпионате от газпромнефти Проэнергетику,result
Моя команда заняла первое место в кейс чемпионате от газпромнефти Проэнергетику,result
Я бы хотела принять участие в этом хакатоне и показать себя максимально ярко,result
Я бы хотела принимать участие в этом хакатоне и наслаждаться процессом,process
Это повод и отличный способ развить мои навыки в этой сфере  Я надеюсь  что у меня всё получится на выбранном на пути,result
В моём бэкграунде есть небольшой опыт разработки  веб разработки на ангуляре,result
В прошлом я немного занимался разработкой  веб разработкой на ангуляре,process
Я участвовала в конференции «нефть и газ» с докладом по аналитике на английском языке,process
Я имею высшее образование по профилю «информационные системы и технологии в бизнесе»  благодаря этому я получил навыки в разработке и проектировании систем,result
"Основным достижением я считаю защиту диплома по теме ""Сервис поддержки контент менеджера"" на оценку отлично и успешное прохождение учебной образовательной программы ИТМО 2022 цифровые решения дирекция региональных продаж от Газпромнефти  где я улучшил своих hard и soft skills",result
У меня есть диплом об окончании администрирования на базе OSALT  У меня есть диплом о завершении курса по астролинуксу,result
Я дважды участвовал в студенческих цехах от росатома по компетенции кибербезопасности продвинутого уровня,process
В одном конкурсе занял четвёртое место  в другом   третье,result
Имел опыт в управлении сети  построенной на unix операционных системах с помощью ansible,process
Участие в этом курсе   огромное достижение,result
На протяжении последних четырёх лет я также развивался и работал в нефтяной отрасли,process
Я имею высшее образование по профилю математическое обеспечение и администрирование информационных систем,result
Я учился в университете по профилю математическое обеспечение и администрирование информационных систем,process
Основным достижением я могу считать понимание сфер it технологии  математики и нефтяной промышленности  которые имеют между собой большое количество точек соприкосновения и дают спектр возможностей в развитии,result
Являюсь победителем и призёром различных мероприятий  Имею более 100 достижений в различных направлениях,result
Участвую в научно практической деятельности уже более 4 лет,process
Я занимаюсь разработкой проекта обеспечения информационной безопасности цифровых двойников  Это важное направление на сегодняшний день  поэтому я этим и занимаюсь,process
Также хотел бы отметить  что я включён в список государственного информационного ресурса о лицах проявивших выдающиеся способности  являюсь выпускником образовательного центра Сириус  неоднократно участвовал у них на программах,result
Имею хорошие отметки в высшем учебном заведении и также готов проявить себя на хакатоне,result
Чуть меньше опыта имею в рекомендательных системах,process
Также я увлекаюсь соревновательным Data science и имею там некоторые достижения,result
Я получила три различных диплома  включая диплом о переподготовке нефтегазовой отрасли  а также диплом по развитию Soft skills и вместе с этим была призёром таких конференций  как национальная конференция от арктического консорциума  а также различных конференций для молодых специалистов от Роснефти,result
Была призёром международной олимпиады прорыв   олимпиады для студентов от Газпрома  а также геологической олимпиады,result
Вместе с этим моя команда вошла в топ 6 лучших решений на международном чемпионате Кейна,result
Ещё ни разу не было такого  что моё незнание чего то мешало мне добиваться результатов  поэтому я буду рада участвовать в вашем мероприятии  применить свои знания  а также научиться чему то новому,result
Математическое моделирование мне стало интересно благодаря моему опыту работы в международной компании шлюмберже подразделения гидроразрыва пласта  где я проводила закачки ГРП  а также анализировала дизайны,process
Изучал такие темы как математическое моделирование  машинное обучение  большие данные,process
Знаю алгоритмы и структуры данных примерно на уровне ШАДа  языки pythpn  C++  сдал IELTS Academic на B2,result
Имею большой опыт работы по информационно аналитическому направлению,process
Являюсь целевым студентом научно технического центра Газпромнефти  Увлекаюсь точными науками  Увлекаюсь аналитикой и большими данными,process
Являюсь бронзовым призёром международных студенческих интернет олимпиад 2022 года по дисциплине теоретическая механика  Имею опыт в решении нефтегазовых кейсов,result
Прошёл стажировку в компании ПАО Газпромнефть в блоке логистики переработки избыток,result
Уверен  что на хакатоне смогу проявить себя на высшем уровне,result
Проучившись год в магистратуре по направлению информатика и вычислительная техника  я написала статью по применению машинного обучения для поддержания пластового давления,result
Во время обучения в магистратуре по направлению информатика и вычислительная техника  я писала статью по применению машинного обучения для поддержания пластового давления,process
Сейчас я прохожу курсы по данному направлению и прохожу стажировку в команде дата сантистов башни пинефти,process
Для меня попасть на хакатон и принять участие в кейсе   это новый вызов  в котором я очень хочу поучаствовать,process
Я приобрёл опыт работы в строительной сфере,process
Оновным достижением я могу считать успешное совмещение учёбы и предпринимательской деятельности,result
На протяжении последних двух лет я также занимался в it и бизнес направлениях  Я продолжаю обучаться новому  применяя знания в различных проектах,process
Также благодаря предпринимательству я приобрёл полезные навыки профессиональной коммуникации и мульти таскинга  способности добиваться поставленных целей Как лично  Так и в команде,result
На втором курсе с участвовал в Олимпиаде Яндекс по технологическому предпринимательству  прошел в финал  но к сожалению его не выиграл  А в данный момент я работаю в морской линии,process
